"Service name","Type of establishment","Services provided","Address line 1","Address line 2",Postcode,"Last inspection date",Telephone,Sector
"Plas Madoc Surgery","GP Surgeries","GP services","51 Peris",Wrexham,"LL14 3LE",,"'01978 810182",NHS
"Plas Meddyg","GP Surgeries","GP services","Station Road",Denbighshire,"LL15 1BP",,"'01824 702255",NHS
"Plas Menai Surgery","GP Surgeries","GP services","Penmaenmawr Road",Conwy,"LL33 0PE",,"'01248 680021",NHS
"Plas Y Bryn Medical Centre","GP Surgeries","GP services","Chapel Street",Wrexham,"LL13 7DD",,"'01978 351308",NHS
"Pleasure or Pain Productions (de-registered 12/03/2026)",Hospitals,"Laser - non-surgical (e.g. hair or tattoo removal)","26 Cardiff Street",Aberdare,"CF44 7DA",14/07/2020,"'01685 875252",Private/Independent
"Pont Newydd Medical Centre","GP Surgeries","GP services","Aberrhondda Road",Porth,"CF39 0LD",,"'01443 688880",NHS
"Pont Steffan Dental","Dental Practices",Dental,"4 North Road",Lampeter,"SA48 7HZ",02/08/2018,"'01570 422595",Private/Independent
"Pontardawe Dental Centre","Dental Practices",Dental,"100 Herbert Street",Swansea,"SA8 4ED",27/12/2018,"'01792 863354",Private/Independent
"Pontardawe Health Centre","GP Surgeries","GP services","Tawe Terrace","Pontardawe, Swansea","SA8 4JU",04/10/2023,"'01792 863103",NHS
"Pontcae Medical Practice","GP Surgeries","GP services","Dynevor Street","Merthyr Tydfil","CF48 1YE",21/03/2018,"'01685 384369",NHS
"Pontcanna Dental Care","Dental Practices",Dental,"102 Cathedral Road",Cardiff,"CF11 9LP",31/12/2025,"'029 20387683",Private/Independent
"Pontcymmer  Dental Surgery","Dental Practices",Dental,"97 Oxford Street Pontcymmer","Garw Valley","CF32 8DE",02/05/2017,"'01656 871709",NHS
"Ponthir Dental Practice (Restore Dental Group)","Dental Practices",Dental,"Stokes Court",Newport,"NP18 1RY",14/06/2022,"'01633 431299","NHS, Private/Independent"
"Pontllanfraith Health Centre","GP Surgeries","GP services","Blackwood Road",Blackwood,"NP12 2YU",,"'01495 227131",NHS
"Pontlottyn Surgery","GP Surgeries","GP services","Stuart Street",Bargoed,"CF81 9QE",,"'01685 840627",NHS
"Pontypridd & District Cottage Hospital (Y Bwthyn)",Hospitals,,"The Common",Pontypridd,"CF37 4AL",,"'01443 486222",NHS
"Pontypridd Health Centre","GP Surgeries","GP services","Bridge Street",Pontypridd,"CF37 3DB",,"'01443 405996",NHS
"Port Talbot Resource Centre","GP Surgeries","GP services, Dental","Port Talbot Resource Centre Moor Road","Port Talbot","SA12 7BJ",17/08/2017,"'0844 576 9960",NHS
"Portfield Dental Surgery","Dental Practices",Dental,"11 Portfield",Haverfordwest,"SA61 1BN",15/11/2023,"'01437 762978","NHS, Private/Independent"
"Porth Farm Surgery","GP Surgeries","GP services","Porth Street",Porth,"CF39 9RR",08/05/2017,"'01443 682579",NHS
"Old Station Surgery","GP Surgeries","GP services","Brecon Road",Abergavenny,"NP7 5AQ",,"'01873 859000",NHS
"Overton Medical Practice","GP Surgeries","GP services","15 High Street",Wrexham,"LL13 0ED",12/11/2018,"'01978 710666",NHS
"P A Hawkins & L A Griffiths Dental Surgery","Dental Practices",Dental,"11 Station Terrace",Caerphilly,"CF83 1HD",09/02/2017,"'02920 882034",NHS
"P D Care Ltd","Dental Practices",Dental,"31 Kenmare Mews",Pontprennau,"CF23 8RJ",29/02/2024,"'029 2073 6600","NHS, Private/Independent"
"Padarn Surgery","GP Surgeries","GP services","Penglais Road",Aberystwyth,"SY23 3DU",28/12/2017,"'01970 624545",NHS
"Pant Surgery","GP Surgeries","GP services","57 Aberdare Road Cwmbach",Aberdare,"CF44 0HL",,"'01685 872434",NHS
"Panteg Health Centre","GP Surgeries","GP services","Kemys Street",Pontypool,NP45DJ,04/06/2026,"'01495 763608",NHS
"Pantglas Surgery","GP Surgeries","GP services","Aberfan Community Centre, Pantglas Road","Merthyr Tydfil","CF48 4QE",,"'01443 690382",NHS
"Panton Surgery","GP Surgeries","GP services","Halkyn Road","Holywell, Flintshire","CH8 7TZ",03/07/2020,"'01352 718364",NHS
"Parc Canol Group Practice","GP Surgeries","GP services","Central Park Church Village",Pontypridd,"CF38 1RJ",,"'01443 203414",NHS
"Parc Glas Surgery","GP Surgeries","GP services",Bethel,Anglesey,"LL62 5NW",,"'01407 840294",NHS
"Park Cresent Dental Care","Dental Practices",Dental,"29 Park Crescent",Barry,"CF62 6HE",26/08/2022,"'01446 733595","NHS, Private/Independent"
"Park House Surgery","GP Surgeries","GP services","26 Nant Hall Road",Denbighshire,"LL19 9LN",,"'01745 854496",NHS
"Park Lane Surgery","GP Surgeries","GP services","Mill Street Tonyrefail",Porth,"CF39 8AG",09/05/2024,"'01443 670567",NHS
"Park Place Surgery","GP Surgeries","GP services","47 Park Place",,"CF10 3LU",,"'029 2087 0660",NHS
"Park Street Dental Practice","Dental Practices",Dental,"26 Park Street",Bridgend,"CF31 4AX",30/12/2022,"'01656 654725","NHS, Private/Independent"
"Park Surgery","GP Surgeries","GP services","282 Ringland Circle",Newport,"NP19 9PS",,"'01633 277442",NHS
"Park Surgery","GP Surgeries","GP services","Windsor Street Trecynon",Aberdare,"CF44 8LL",,"'01685 872040",NHS
"Parklands Dental Surgery","Dental Practices",Dental,"Bowls Terrace",Caerphilly,"CF83 2RD",11/07/2024,"'02920 889305",Private/Independent
"Parkside Dental Practice","Dental Practices",Dental,"170 Cathedral Road",Cardiff,"CF11 9JD",08/05/2017,"'029 2066 5566",Private/Independent
"Parkway Clinic",Hospitals,"Cosmetic Surgery, Dental","Lamberts Road",Swansea,"SA1 8EL",13/06/2022,"'01792 455780",Private/Independent
"Park View Dental Practice","Dental Practices",Dental,"23 Gelliwastad Road",Pontypridd,"CF37 2BW",29/04/2021,"'01443 402425","NHS, Private/Independent"
"Paul James Dental Surgery","Dental Practices",Dental,"18 Morgan Street",Pontypridd,"CF37 2DS",28/09/2017,"'01443 400600",NHS
"Mountain Ash Dental Surgery","Dental Practices",Dental,"60a Oxford Street","Mountain Ash","CF45 3HB",18/12/2024,"'01443 474441","NHS, Private/Independent"
"Pearl Dental Centre","Dental Practices",Dental,"2 Main Road",Pontypridd,"CF38 1PY",04/11/2020,"'01443 203212","NHS, Private/Independent"
"Noah's Ark Children's Hospital for Wales",Hospitals,,"University Hospital of Wales","Heath Park","CF14 4XW",28/02/2024,"'029 2074 7747",NHS
"Cox and Hitchcock Dental Group – Llanthewy Road","Dental Practices",Dental,"2 Llanthewy Road",Newport,"NP20 4JR",12/05/2020,"'01633 263653","NHS, Private/Independent"
"North Cardiff Medical Centre","GP Surgeries","GP services","Excalibur Drive Thornhill Cardiff",Thornhill,"CF14 9BB",,"'029 2076 4444",NHS
"North Cardiff Orthodontic Centre","Dental Practices",Dental,"6&7 Cwrt-y-Parc",Llanishen,"CF14 5GH",15/10/2025,"'029 2076 1495","NHS, Private/Independent"
"North Celynen Practice","GP Surgeries","GP services","Crown Street",Crumlin,"NP11 4PQ",,"'01495 246531",NHS
"North Celynen Practice","GP Surgeries","GP services","Ashfield Road",Newbridge,"NP11 4RA",,"'01495 246531",NHS
"North Cornelly Surgery","GP Surgeries","GP services","Heol Fach","North Cornelly","CF33 4LD",09/09/2021,"'01656 740345",NHS
"North Road Medical Practice","GP Surgeries","GP services","182 North Road Gabalfa Cardiff",Gabalfa,"CF14 3XQ",15/08/2024,"'029 2061 9188",NHS
"North Road Surgery","GP Surgeries","GP services","24 North Road",Cwmbran,"NP44 2EN",,"'01633 483226",NHS
"Oak Street Surgery","GP Surgeries","GP services","Oak Street",Cwmbran,"NP44 3LT",,"'01633 866719",NHS
"Oak Tree Surgery","GP Surgeries","GP services","Whitethorn Drive",Bridgend,"CF31 2PQ",,"'01656 665353",NHS
"Oakdale Medical Centre","GP Surgeries","GP services","The Square",Blackwood,"NP12 0LR",06/08/2025,"'01495 224843",NHS
"Oakfield Surgery","GP Surgeries","GP services","Oakfield Street","Ystrad Mynach","CF82 7WX",,"'01443 812979",NHS
"Oaklands Surgery","GP Surgeries","GP services","Oakland Street",Treharris,"CF46 6TE",,"'01443 710586",NHS
"Bupa Dental Care - Bassaleg","Dental Practices",Dental,"Caerphilly Road",Bassaleg,"NP10 8LE",06/03/2020,"'01633 893451","NHS, Private/Independent"
"Bupa Dental Care – Caerphilly","Dental Practices",Dental,"6a Cae Meillion","Ystrad Cwrt Rawlin","CF83 1SN",24/08/2022,"'02920 887 838",NHS
"Bupa Dental Care – Cardiff Mermaid Quay","Dental Practices",Dental,"Unit 11a Mermaid Quay, Bute Street","Cardiff Bay","CF10 5BZ",18/04/2017,"'02820 481212",Private/Independent
"Bupa Dental Care – Ewloe","Dental Practices",Dental,"Unit 2 Lakeside Business Park","St David's Park","CH5 3XP",14/10/2021,"'01244 538301","NHS, Private/Independent"
"Bupa Dental Care – Mold (de-registered 01/05/2026)","Dental Practices",Dental,"23 - 25 Victoria Hotel","Chester Street","CH7 1EG",09/11/2022,"'01352 759162","NHS, Private/Independent"
"Bupa Dental Care – Wrexham","Dental Practices",Dental,"23 Grosvenor Road",Wrexham,"LL11 1BT",01/09/2022,"'01978 262895","NHS, Private/Independent"
"Bupa Dental Care – Neath","Dental Practices",Dental,"23 Victoria Gardens",Neath,"SA11 3AY",04/12/2024,"'01639 644460","NHS, Private/Independent"
"Ogmore Vale Dental Surgery","Dental Practices",Dental,"14 Commercial Street, Ogmore Vale",Bridgend,"CF32 7BL",24/02/2017,"'01656 840325",NHS
"Ogmore Vale Surgery","GP Surgeries","GP services","Commercial Street","Ogmore Vale","CF32 7BL",,"'01656 840208",NHS
"Ogmore Valley Family Dental Practice","Dental Practices",Dental,"14 Commercial Street","Ogmore Vale","CF32 7BL",,"'01656 840325","NHS, Private/Independent"
"Old School Surgery","GP Surgeries","GP services","School Street",Pontyclun,"CF72 9AA",,"'01443 222567",NHS
"Tycroes Surgery","GP Surgeries","GP services","Penygarn Road","Tycroes, Carmarthenshire","SA18 3NY",,"'01269 592477",NHS
"Tŷ Croes Surgery","GP Surgeries","GP services","Penygarn Road Ty Croes",,"SA18 3NY",,"'01269 592477",NHS
"Tŷ Cwm Rhondda",Hospitals,"Mental Health","Tyntyla Avenue Ystrad",Rhondda,"CF41 7SU",07/05/2026,"'01443 424940",Private/Independent
"Tŷ Doctor","GP Surgeries","GP services","Ffordd Dewi Sant","Nefyn, Gwynedd","LL53 6EG",01/07/2020,"'01758 721851",NHS
"Tŷ Elan Surgery","GP Surgeries","GP services","Ffordd Elan Estate",Denbighshire,"LL18 4DU",,"'01745 333670",NHS
"Tŷ Elli Group Practice","GP Surgeries","GP services","Ty Elli Surgery Vauxhall",Llanelli,"SA15 3BD",,"'01554 772678",NHS
"Tŷ Gobaith",Hospices,,Groesynydd,Conwy,"LL32 8SS",09/10/2025,"'01492 651900",Private/Independent
"Tŷ Grosvenor",Hospitals,"Mental Health","16/18 Grosvenor Road",Wrexham,"LL11 1BU",19/03/2026,"'01978 802 800",Private/Independent
"Tŷ Gwyn Hall",Clinics,"Mental Health","Llantillio Pertholey",Abergavenny,"NP7 6NY",11/12/2025,"'01873 856197",Private/Independent
"Tŷ Hafan",Hospices,,"Hayes Road",Sully,"CF64 5XX",02/01/2025,"'029 2053 2200",Private/Independent
"Brecon Medical Group Practice","GP Surgeries","GP services","Bridge Street",Brecon,LD38AH,18/12/2024,"'01874 622121",NHS
"Tŷ Llidiard",Hospitals,,"Coity Road",Bridgend,"CF31 1RQ",16/04/2026,"'01685 674951",NHS
"Tycoch Dental Practice","Dental Practices",Dental,"79 Carnglas Road",Tycoch,"SA2 9BL",20/05/2019,"'01792 297629",Private/Independent
"Tŷ Gwyn Dental Practice","Dental Practices",Dental,"14 Sway Road Morriston",Swansea,"SA6 6HT",28/09/2022,"'01792 771159","NHS, Private/Independent"
"Tylorstown Surgery","GP Surgeries","GP services","Ferndale Road Tylorstown",Rhondda,"CF43 3HB",,"'01443 730169",NHS
"Tynewydd Dental Practice","Dental Practices",Dental,"75 Tynewydd Road",Barry,"CF62 8BA",24/04/2026,"'01446 738602","NHS, Private/Independent"
"Tynycoed Surgery","GP Surgeries","GP services","20 Merfield Close",Bridgend,"CF32 9SW",16/04/2025,"'01656 720334",NHS
"Tyn-y-Coed Surgery","GP Surgeries","GP services","61 Conwy Road",Conwy,"LL29 7LG",,"'01492 533806",NHS
"Tywi Dental Practice  (de-registered 6/11/2025)","Dental Practices",Dental,"22 Crescent Road",Llandeilo,"SA19 6HN",14/09/2017,"'01558 824604",Private/Independent
"Tywyn Health Centre","GP Surgeries","GP services","Aberdovey Road",Gwynedd,"LL36 0AT",,"'01654 713000",NHS
"Tywyn Memorial Hospital",Hospitals,,"Bryn Hyfryd Road",Tywyn,"LL36 9HH",21/03/2018,"'01654 710411",NHS
"uSmile Dental Practice","Dental Practices",Dental,"21 Hillsboro Place","Porthcawl (Accepting NHS Exempt & Children)","CF36 3BH",28/09/2022,"'01656 782365",Private/Independent
Ultralase,Hospitals,"Laser - surgical (e.g. laser eye surgery)","24 Windsor Place",Cardiff,"CF10 3BY",,"'029 2034 0230",Private/Independent
"Ultralase Laser Eye Clinics - Cardiff",Clinics,"Laser - surgical (e.g. laser eye surgery)","Northgate House, Kingsway",Cardiff,"CF10 3FD",13/07/2018,"'02920 340230",
"Underwood Health Centre","GP Surgeries","GP services","Birch Grove",Newport,"NP18 2JB",,"'01633 413258",NHS
"St Davids Surgery","GP Surgeries","GP services","Eryl Mor, 36 New Street","St Davids","SA62 6SS",,"'01437 720303",NHS
"St David's Surgery","GP Surgeries","GP services","St. David's Street Ton Pentre",Pentre,"CF41 7BD",16/12/2016,"'01443 435846",NHS
"St George's Crescent Surgery","GP Surgeries","GP services","40 St George's Crescent",Wrexham,"LL13 8DB",,"'01978 290708",NHS
"St Giles Dental","Dental Practices",Dental,"3 St Giles Business Park, Pool Road",Newtown,"SY16 3AJ",30/08/2019,"'01686 628282",Private/Independent
"St Isan Road Surgery","GP Surgeries","GP services","46 St. Isan Road Heath",Heath,"CF14 4UU",07/11/2025,"'029 2061 2333",NHS
"St James Medical Centre","GP Surgeries","GP services","3 Herbert Street",Pontardawe,SA84EB,,"'01792 830089",NHS
"St John's Medical Practice","GP Surgeries","GP services","High Street",Aberdare,"CF44 7DD",,"'01685 874614",NHS
"St Joseph's",Hospitals,"Ionising radiation (e.g. Radiotherapy)","Harding Avenue Malpas",Newport,"NP20 6ZE",12/03/2026,"'01633 820300",Private/Independent
"St Julians Medical Centre","GP Surgeries","GP services","13A Stafford Road",Newport,"NP19 7DQ",,"'01633 251304",NHS
"St Kentigern",Hospices,,"Upper Denbigh Road St.",Asaph,"LL17 0RS",08/06/2023,"'01745 585221",Private/Independent
"St Mark's Dee View Surgery","GP Surgeries","GP services","The Quay Health Centre, Fron Road",Flintshire,CH54PJ,,"'01244 812003",NHS
"St Mellons Dental Surgery (Restore Dental Group)","Dental Practices",Dental,"16 Crickhowell Road","St Mellons, Cardiff","CF3 0EF",13/04/2022,"'029 2077 8899","NHS, Private/Independent"
"St Oswald's Surgery","GP Surgeries","GP services","The Parade",Pembroke,"SA71 4LD",,"'01646 624198",NHS
"St Peter's Hospital",Hospitals,"Mental Health","Chepstow Road",Newport,"NP18 2AA",25/06/2026,"'01633 401300",Private/Independent
"St Peter's Surgery","GP Surgeries","GP services","St Peter's Street",Carmarthen,"SA31 1AH",10/12/2025,"'01267 236241",NHS
"St Teilo Dental Centre","Dental Practices",Dental,"168 St. Teilo Street Pontardulais",Swansea,SA48LH,08/09/2022,"'01792 882495","NHS, Private/Independent"
"St Teilo House",Hospitals,,"Goshen Street",Rhymney,"NP22 5NF",20/11/2025,"'01685 846970",Private/Independent
"St Thomas Surgery","GP Surgeries","GP services","Rifleman Lane St Thomas Green",Haverfordwest,"SA61 1QX",13/08/2018,"'01437 762162",NHS
"St. Andrews Surgery","GP Surgeries","GP services","1 De Winton Street",Tonypandy,"CF40 2QZ",30/04/2026,"'01443 442902",NHS
"St. Brides Medical Centre","GP Surgeries","GP services","Tredegar House Drive",Newport,"NP10 8UX",,"'01633 815161",NHS
"St. Cadocs Hospital",Hospitals,"Mental Health","Lodge Road",Caerleon,"NP18 3XQ",21/08/2025,"'01633 436700",NHS
"St. Davids Hospital (Cardiff)",Hospitals,,"Cowbridge Road East",Cardiff,"CF11 9XB",01/08/2025,"'029 2053 6666",NHS
"St. Davids Medical Centre","GP Surgeries","GP services","Pentwyn Drive",Pentwyn,"CF23 7SD",,"'029 2073 3032",NHS
"St. David's Surgery","GP Surgeries","GP services","36 Caldicot Close Winch Wen",Swansea,SA17HT,,"'01792 702700",NHS
"St. James Dental Practice","Dental Practices",Dental,"71 Walter Road",Swansea,"SA1 4QA",18/12/2024,"'01792 473672","NHS, Private/Independent"
"Skin Deep Laser Clinic & Weight Loss Clinic",Clinics,"Laser - non-surgical (e.g. hair or tattoo removal)","16-18 Mary Street",Porthcawl,"CF36 3YA",,"'01656 774358",Private/Independent
"Smart Smiles Abercynon","Dental Practices",Dental,"24 Margaret Street","Mountain Ash","CF45 4RE",22/09/2017,"'01443 740730","NHS, Private/Independent"
"Smile Solution Ltd @ Chepstow Orthodontics Ltd","Dental Practices",Dental,"6A St Mary's Arcade",Chepstow,"NP16 5EU",06/01/2023,"'01291 628954",Private/Independent
"Smile Studio Penarth","Dental Practices",Dental,"4 Plymouth Road",Penarth,"CF64 3DH",03/10/2018,"'029 2070 8030",Private/Independent
"BUPA Dental Care Smiles Better Abergavenny","Dental Practices",Dental,"2 & 4 Baker Street",Abergavenny,"NP7 5BB",02/05/2017,"'01873 857400",Private/Independent
"Bupa Dental Care – Pentwyn","Dental Practices",Dental,"Pentwyn Drive",Pentwyn,"CF23 7EY",08/12/2017,"'02920 731761","NHS, Private/Independent"
"Smiles Dental","Dental Practices",Dental,"68a Cowbridge Road East",Canton,"CF11 9DU",27/02/2017,"'029 2037 4009",NHS
"MyDentist – Smiles Dental Centre","Dental Practices",Dental,"29 High Street","Merthyr Tydfil ","CF37 8DP",11/06/2025,"'01685 722 333","NHS, Private/Independent"
"Solva Surgery","GP Surgeries","GP services","Cysgod Yr Eglwys Solva",Haverfordwest,"SA62 6TW",,"'01437 721306",NHS
"South Pembrokeshire Hospital",Hospitals,,"Fort Road","Pembroke Dock","SA72 6SY",26/10/2020,"'01646 682114",NHS
"Porthcawl Group Practice","GP Surgeries","GP services","Clos Y Mametz",Porthcawl,CF365DJ,,"'01656 304204",NHS
"South Street Surgery","GP Surgeries","GP services","South Street",Bargoed,"CF81 8ST",20/01/2017,"'01443 821255",NHS
"Specialist Skin Clinic Ltd",Hospitals,"Laser - non-surgical (e.g. hair or tattoo removal)","10 Penlline Road Whitchurch",Cardiff,"CF14 2AD",17/04/2026,"'02920 617690",Private/Independent
"Spire (Cardiff)",Hospitals,"Ionising radiation (e.g. Radiotherapy)","Croescadarn Road Pentwyn",Cardiff,"CF23 8XL",30/12/2024,"'029 2073 5515",Private/Independent
"Spire (Yale)",Hospitals,,"Wrexham Technology Park",Wrexham,"LL13 7YP",21/09/2023,"'01978 291306",Private/Independent
"MyDentist – Splott Road Dental Surgery (de-registered 9/02/2026)","Dental Practices",Dental,"21 Splott Road",Splott,"CF24 2BU",,"'029 2048 5808","NHS, Private/Independent"
"Springfield Dental","Dental Practices",Dental,"Springfield House 5 Chester Road ",Gresford,"LL12 8NA",,"'01978 851300",Private/Independent
"Springfield Dental Care","Dental Practices",Dental,"Springfield House, 5 Chester Road",Wrexham,"LL12 8PT",20/09/2018,"'01978 851300",NHS
"St Anne's",Hospices,,"Harding Avenue Malpas",Newport,"NP20 6ZE",,"'01633 820300",Private/Independent
"St Brynach Day Hospital",Hospitals,,"Fishguard Road",Haverfordwest,"SA61 2PZ",,"'01437 773157",NHS
"St Clement's Surgery","GP Surgeries","GP services","St Clement's Road",Neyland,"SA73 1SH",,"'01646 600238",NHS
"St David's Clinic","GP Surgeries","GP services","Bellevue Terrace",Newport,"NP20 2LB",02/07/2025,"'01633 251133",NHS
"St Davids Dental Care Ltd","Dental Practices",Dental,"34A New Street","St Davids","SA62 6SS",17/04/2018,"'01437 721747",Private/Independent
"St David's Foundation Hospice Care",Hospices,,"Blackett Avenue",Newport,"NP20 6NH",12/06/2025,"'01633 851051",Private/Independent
"St David's Hospice",Hospices,,"Abbey Road",Llandudno,"LL30 3EN",23/12/2022,"'01492 879058",Private/Independent
"Tongwynlais Dental Practice","Dental Practices",Dental,"49 Merthyr Road",Tongwynlais,"CF15 7LG",05/07/2022,"'029 2081 1431","NHS, Private/Independent"
"Tongwynlais Surgery","GP Surgeries","GP services","1 St Michaels Close Tongwynlais",,"CF15 7LB",,"'029 2081 0311",NHS
"Tonna Hospital",Hospitals,"Mental Health","Tonna Uchaf",Neath,"SA11 3LX",02/01/2025,"'01639 862921",NHS
"Tonyfelin Medical Centre","GP Surgeries","GP services","Tonyfelin Surgery",Caerphilly,"CF83 1XP",14/05/2025,"'02920 887831",NHS
"Tonypandy Health Centre (Dr Rao)","GP Surgeries","GP services","De Winton Field",Tonypandy,"CF40 2LE",,"'01443 433284",NHS
"MyDentist – Tonyrefail","Dental Practices",Dental,"2 Pritchard Street",Porth,"CF39 8PA",15/08/2025,"'01443 670691","NHS, Private/Independent"
"Town Gate Practice","GP Surgeries","GP services","Chepstow Community Hospital",Chepstow,"NP16 5XP",12/06/2026,"'01291 440065",NHS
"Townhill Dental Practice","Dental Practices",Dental,"16 Graiglwyd Road Cockett",Swansea,"SA2 0UX",03/01/2023,"'01792 201145","NHS, Private/Independent"
"Trallwn Dental Surgery","Dental Practices",Dental,"143 Trallwn Road, Llansamlet",Swansea,"SA7 9UU",21/05/2025,"'01792 773673",Private/Independent
"Transcend Clinic and Circumcision Clinic",Hospitals,Circumcision,"98 Wentloog Road, Rumney",Cardiff,"CF3 3XE",06/01/2023,,Private/Independent
"Trawsfynydd Health Centre","GP Surgeries","GP services",,Gwynedd,"LL41 4SB",,"'01766 540212",NHS
Treflan,"GP Surgeries","GP services","Lower Cardiff Road",Gwynedd,"LL53 5NF",,"'01758 701457",NHS
"Trefynwy Dental Practice","Dental Practices",Dental,"10 St James Street",Monmouth,"NP25 3DL",22/11/2021,"'01600 772060","NHS, Private/Independent"
"Tregaron Hospital",Hospitals,,Tregaron,,"SY25 6JP",10/12/2021,"'01974 298203",NHS
"Tregaron Surgery","GP Surgeries","GP services","Salop House",Tregaron,"SY25 6HA",19/05/2023,"'01974 298218",NHS
"Treharris  Dental Clinic","Dental Practices",Dental,"Bargoed Terrace",Treharris,"CF46 5RP",,"'01443 411937",NHS
"Treharris Primary Care Centre",Clinics,"GP services, Dental","Fox Street",Treharris,"CF46 5HE",09/08/2017,"'01443 410242",NHS
"Trelai Park Dental Clinic","Dental Practices",Dental,"122 Cowbridge Road West",Ely,"CF5 5BT",30/07/2024,"'029 2056 2800","NHS, Private/Independent"
"Trellech Surgery","GP Surgeries","GP services","Roman Park View",Trellech,"NP25 4RB",,"'01600 860302",NHS
"Troed Y Fan Medical Practice","GP Surgeries","GP services","Cottrell Street","Merthyr Tydfil","CF48 4QU",30/07/2019,"'01443 690514",NHS
"Troedybryn Surgery","GP Surgeries","GP services","16 Shopping Parade",Caerphilly,"CF83 1PX",,"'02920 886501",NHS
"Trosnant Lodge","GP Surgeries","GP services","Trosnant Street",Pontypool,NP48AT,,"'01495 762709",NHS
"Tudor Gate Surgery","GP Surgeries","GP services","Tudor Street",Abergavenny,NP75DL,08/01/2020,"'01873 855991",NHS
"Tutshill Surgery branch of Vaxhuall Practice","GP Surgeries","GP services","Coleford Road",Chepstow,"NP16 7BN",,"'01291 637910",NHS
"Tŷ Bryn Surgery","GP Surgeries","GP services","The Bryn",Caerphilly,"CF83 8GL",07/07/2020,"'029 20 868011",NHS
"Talbot Road Dental Practice","Dental Practices",Dental,"116 Talbot Road","Port Talbot","SA13 1LB",25/06/2018,"'01639 882280","NHS, Private/Independent"
"Talbot Street Dental Clinic","Dental Practices",Dental,"24 Talbot Street, Maesteg",Bridgend,"CF34 9BW",27/04/2017,"'01656 733295","NHS, Private/Independent"
"Talking Teeth, Flint","Dental Practices",Dental,"7-9 Church Street",Flintshire,"CH6 5AD",01/05/2019,"'01352 730800","NHS, Private/Independent"
"Talking Teeth – The Old Post Office","Dental Practices",Dental,"The Old Post Office Holyhead Road, Chirk",Wrexham,"LL14 5NA",03/10/2019,"'01691 777 781","NHS, Private/Independent"
"Tan Y Graig Dental Practice","Dental Practices",Dental,"63 High Street",Bangor,"LL57 1NR",13/06/2019,"'01248 353456","NHS, Private/Independent"
"Tanyfron Surgery","GP Surgeries","GP services","7-9 Market Street",Aberaeron,"SA46 0AS",,"'01545 570271",NHS
"Tara Martin Dental Care","Dental Practices",Dental,"2 Victoria Terrace",Holyhead,"LL65 1UT",19/07/2017,"'01407 764599",Private/Independent
"Teeth for Life Dental Care","Dental Practices",,"Hawkesford House",Magor,"NP26 3EG",02/01/2026,"'01633 881084",Private/Independent
Tegfryn,"GP Surgeries","GP services","Main Road",,"CF38 1PN",,"'01443 202097",NHS
"Tenby Cottage Hospital",Hospitals,,"Gas Lane The Norton",Tenby,"SA70 8AG",,'01834-845400,NHS
"Tenby Dental Haven","Dental Practices",Dental,"Ace Court, Warren Street",Tenby,"SA70 7JY",20/01/2017,"'01834 849108","NHS, Private/Independent"
"Tenby Surgery","GP Surgeries","GP services","The Norton, Gas Lane",Tenby,"SA70 8AB",13/07/2021,"'01834 840868",NHS
"TFL Care Limited","Dental Practices",Dental,"Dental Surgery",Caldicot,"NP26 4AA",18/05/2021,"'01291 421351","NHS, Private/Independent"
"The Bryn Surgery","GP Surgeries","GP services","Bryn Road",Blackwood,"NP12 1HB",,"'01443 837477",NHS
"The Caerau Lane Surgery","GP Surgeries","GP services","Caerau Lane Ely",Ely,CF55HJ,,"'029 2059 1855",NHS
"Channings Dental Surgery","Dental Practices",Dental,"33 Mary Street",Porthcawl,"CF36 3YN",15/03/2018,"'01656 783403","NHS, Private/Independent"
"The City Surgery","GP Surgeries","GP services","187 City Road",Roath,"CF24 3WD",25/05/2017,"'029 2043 7980",NHS
"The Clinic","GP Surgeries","GP services","West Pontnewydd",Cwmbran,"NP44 1HN",,"'01633 484419",NHS
"The Clinic","GP Surgeries","GP services","Mount Street",Denbighshire,"LL15 1BG",,"'01824 703633",NHS
"The Clinic","GP Surgeries","GP services","Offa Street",Wrexham,"LL11 5AG",,"'01978 756716",NHS
"The Clinic","GP Surgeries","GP services","Darby Road",Wrexham,"LL11 6AN",,"'01978 752662",NHS
"The Clinic","GP Surgeries","GP services","Boverton Road","Llantwit Major","CF61 1XZ",,"'01446 794080",NHS
"Coach House Dental Care","Dental Practices",Dental,"4A Grosvenor Road",Wrexham,"LL11 1BU",07/02/2024,"'01978 356328","NHS, Private/Independent"
"The Cottage Dental Practice","Dental Practices",Dental,"Rhyd y Fene, Rhydowen",Llandysul,"SA44 3QE",07/10/2016,"'01545 590603",Private/Independent
"The Courtyard Dental Care","Dental Practices",Dental,"4 Rachel Close",Danescourt,"CF5 2SH",06/11/2024,"'02920 576577","NHS, Private/Independent"
"The Lawn Medical Practice","GP Surgeries","GP services","The Lawn Industrial Estate",Rhymney,"NP22 5PW",12/04/2023,"'01685 700406",NHS
"The Mariners Surgery","GP Surgeries","GP services","Carmarthen Road",,"SA17 5TE",,"'01267 267239",NHS
"The Mariners Surgery","GP Surgeries","GP services","Carmarthen Road",,"SA17 5TE",,"'01267 267239",NHS
"The Mayhill Dental and Specialist Centre","Dental Practices",Dental,"Mayhill Lodge, Mayhill",Monmouth,"NP25 3LX",20/02/2017,"'01600 712020",Private/Independent
